no,game_id,type,released,rtp,base_rtp,free_rtp,hit_rate,free_trigger,bonus_trigger,variance,volatility,size,line,feature1,feature2,feature3,feature4,theme1,theme2,theme3,theme4
506,Nutcracker Factory,duc,2025-08-05,95.56%,36.25%,59.31%,22.51%,1.55%,0.00%,34.9826,11.5926,5x3,25 Lines,코인그랩,,,,카툰,동화,,
505,Blazing Starburst,t8g,2025-07-22,96.66%,53.13%,43.53%,20.36%,1.34%,0.00%,42.8874,12.8357,3x3,5 Lines,스테퍼,,,,클래식,별,,
503,"More Wishes, More Riches",t8g,2025-07-22,95.09%,43.01%,52.09%,30.28%,1.58%,0.00%,33.0756,11.2722,5x3,25 Lines,코인그랩,패스트크레딧,,,실사,동화,지니,알라딘
502,Super 5 Classic,t8g,2025-07-15,95.13%,24.83%,70.29%,14.82%,2.00%,0.60%,4.8776,18.2046,3x3,5 Lines,스테퍼,,,,클래식,,,
501,Pick Pick Boom!,t8g,2025-07-08,96.79%,65.21%,31.58%,24.25%,0.91%,0.00%,37.5375,12.0085,5x3,243 Ways,패스트크레딧,,,,카툰,광산,,
500,Freedom Fury,t8g,2025-06-24,95.80%,53.75%,42.05%,16.07%,1.34%,0.00%,33.0759,11.2723,5x3,Land&Win,코인그랩,,,,카툰,시즌,독립기념일,독수리
499,Link for Pizza,t8g,,95.74%,64.97%,30.77%,24.79%,0.97%,0.00%,29.9846,10.7326,,,,,,,,,,
498,Jelly Rush Delight,duc,,,,,,0.79%,,37.1542,11.947,,,,,,,,,,
497,Sun-Kissed Chili Rush,t8g,,95.81%,95.81%,0.00%,14.35%,0.00%,0.00%,37.5302,12.0073,,,,,,,,,,
496,Carrot Frenzy : The Crazy Trio,duc,,,,,,1.09%,0.79%,48.056,13.5872,,,,,,,,,,
495,Wild West Wrangle,t8g,,95.89%,56.96%,38.93%,17.12%,0.89%,0.00%,35.826,11.7315,,,,,,,,,,
494,Toro Rush,t8g,,,,,,1.50%,,37.4816,11.9995,,,,,,,,,,
493,Toucan Delight,t8g,,95.70%,31.24%,64.46%,32.07%,2.15%,0.00%,38.8527,12.2171,,,,,,,,,,
492,Heist the Stack,duc,,95.70%,65.62%,30.08%,20.70%,0.98%,0.00%,40.9287,12.5392,,,,,,,,,,
491,Mystic Blue,t8g,,96.65%,64.90%,31.75%,35.10%,0.90%,0.00%,38.617,12.1799,,,,,,,,,,
490,Wicked Stew,t8g,,94.95%,41.71%,53.23%,22.00%,1.86%,0.00%,32.7555,11.2176,,,,,,,,,,
489,Bear’s Big Catch,t8g,,97.17%,59.78%,28.13%,28.57%,0.93%,0.52%,31.9082,11.0715,,,,,,,,,,
488,Rolling in More Gold: TNT Blast,duc,,,28.34%,65.43%,34.28%,2.58%,,38.4054,12.1465,,,,,,,,,,
487,Tiki Jackpot Wheel,t8g,,,,,,1.12%,,44.3055,13.0462,,,,,,,,,,
486,Museum Heist,duc,,,,,,1.28%,,70.1455,16.4156,,,,,,,,,,
485,Smash the Piggy,t8g,,96.86%,96.86%,0.00%,8.87%,0.00%,0.00%,34.7109,11.5475,,,,,,,,,,
484,Poison Apple Queen,duc,,,62.69%,32.27%,27.67%,1.01%,1.59%,41.693,12.6557,,,,,,,,,,
483,Cask O’ Luck,t8g,,,,,,3.25%,2.50%,28.5969,10.4813,,,,,,,,,,
482,Twists of Luck,t8g,,,57.69%,38.14%,25.10%,1.00%,0.35%,33.678,11.3744,,,,,,,,,,
481,Oink to Chic,t8g,,95.69%,40.65%,55.05%,25.73%,1.60%,0.00%,37.1014,11.9385,,,,,,,,,,
480,Harvest Fortune Wheel,t8g,,,,,,1.18%,,28.9018,10.537,,,,,,,,,,
479,Yetis Frost Fortune,t8g,,,,,,1.89%,0.44%,48.7132,13.6798,,,,,,,,,,
478,Honeycomb Harvest,t8g,,96.06%,60.02%,36.04%,30.69%,0.79%,0.00%,36.5877,11.8556,,,,,,,,,,
477,Gilded Secrets,t8g,,96.12%,27.41%,24.46%,32.50%,1.07%,1.36%,42.104,12.718,,,,,,,,,,
476,Empire of Diamond Riches,t8g,,96.07%,64.92%,31.14%,29.48%,0.98%,0.00%,42.1759,12.7288,,,,,,,,,,
475,Prairie King,t8g,,,,,,1.85%,1.85%,,15.3935,,,,,,,,,,
474,Fortune Yuanbao,t8g,,,,,,1.28%,,32.609,11.1924,,,,,,,,,,
473,Temple Of 7 Jewels,t8g,,96.96%,63.63%,22.36%,31.53%,0.71%,0.38%,69.9273,16.39,,,,,,,,,,
472,Honeycomb Quest Royale,t8g,,,,,,2.30%,,40.6742,12.5002,,,,,,,,,,
471,Frosty’s Magic Gifts,t8g,,95.89%,40.26%,55.63%,38.49%,1.34%,0.00%,44.2862,13.0434,,,,,,,,,,
470,Merry Jackpot Wheel,t8g,,96.28%,67.49%,28.79%,16.77%,1.17%,0.00%,46.8406,13.4143,,,,,,,,,,
469,My Lucky Chicks,duc,,,,,,1.29%,1.45%,35.1979,11.6282,,,,,,,,,,
468,Pearl Diver's Fortune,t8g,,95.41%,51.01%,29.67%,31.18%,0.95%,0.52%,33.9145,11.4143,,,,,,,,,,
467,Zeus' Eternal Blessing,t8g,,95.84%,40.13%,55.71%,32.52%,1.73%,0.00%,34.4098,11.4973,,,,,,,,,,
466,Pomodoro Gusto,duc,,,,,,0.76%,1.91%,29.0312,10.5606,,,,,,,,,,
465,Majestic Pyramids,t8g,,96.75%,40.24%,34.63%,16.07%,2.91%,0.93%,41.7841,12.6696,,,,,,,,,,
464,Sea of Plunder,duc,,,,,,0.68%,,43.8249,12.9753,,,,,,,,,,
463,SuperCoin2000,duc,,,,,,,,97.4836,19.3518,,,,,,,,,,
462,Clown’s Bonus Bash,duc,,,,,,0.66%,,61.4579,15.3654,,,,,,,,,,
461,Balloon Fever,duc,,95.71%,60.02%,35.69%,22.79%,1.11%,0.00%,39.7642,12.3595,,,,,,,,,,
460,Pirate’s Jewel Match,t8g,,,,,,2.19%,,41.9219,12.6904,,,,,,,,,,
459,Haunted Hood,t8g,,98.01%,25.38%,18.68%,31.35%,0.79%,2.32%,35.1828,11.6258,,,,,,,,,,
458,Roaring Lion Glory,t8g,,95.94%,39.99%,45.19%,32.09%,1.34%,0.61%,33.7429,11.3854,,,,,,,,,,
457,Hip Hop Hogs Last Dance,t8g,,96.35%,57.65%,38.70%,31.93%,2.39%,0.00%,37.8273,12.0548,,,,,,,,,,
456,Flaming Bingo Riches,t8g,,,,,,1.18%,,26.4969,10.0891,,,,,,,,,,
455,Hip Hop Hogs Party Night,t8g,,95.72%,27.60%,68.11%,30.80%,0.49%,2.08%,34.807,11.5635,,,,,,,,,,
454,Prosperous Fu Dai Quest,t8g,,97.11%,40.15%,56.97%,29.72%,1.71%,0.00%,43.8732,12.9824,,,,,,,,,,
453,Black Chip Jackpot,duc,,95.52%,57.07%,38.45%,31.49%,1.30%,0.00%,40.7185,12.507,,,,,,,,,,
452,Texas Oil Rush,t8g,,86.07%,49.94%,36.13%,20.88%,1.42%,0.00%,33.8547,11.4042,,,,,,,,,,
451,Retro Boogie Blast,t8g,,,,,,1.32%,0.63%,38.5075,12.1627,,,,,,,,,,
450,7 Dwarves' Golden Apple,t8g,,95.30%,27.52%,67.78%,33.84%,2.40%,0.00%,47.9797,13.5764,,,,,,,,,,
449,Chili Picante Jackpot,t8g,,96.18%,30.66%,65.52%,33.30%,2.22%,0.00%,48.4644,13.6448,,,,,,,,,,
448,Cash 'N Stack,duc,,,,,,0.65%,,43.8075,12.9727,,,,,,,,,,
447,Fabulous Freedom Jackpot,t8g,,,,,,0.68%,1.43%,32.6013,11.1911,,,,,,,,,,
446,Piggy’s Jackpot Board,t8g,,98.38%,27.53%,59.79%,29.96%,2.14%,0.95%,42.766,12.8176,,,,,,,,,,
445,Hallo-win Fiesta,duc,,,55.33%,39.82%,19.50%,0.70%,,52.598,14.2148,,,,,,,,,,
444,Mega Piggy Smash,duc,,,96.08%,,14.31%,,,39.4667,12.3132,,,,,,,,,,
443,Buzzing Fortune,duc,,,,,,0.80%,,38.7728,12.2045,,,,,,,,,,
442,Minecart Mania,t8g,,95.90%,62.32%,33.58%,31.76%,0.98%,0.00%,37.3412,11.9771,,,,,,,,,,
441,Super Coin 1000,duc,,,,,,,,92.3645,18.8369,,,,,,,,,,
440,Glorious Honey,t8g,,,,,,0.72%,0.18%,58.0256,14.9302,,,,,,,,,,
438,Piggy's Coin Stack,t8g,,95.45%,54.87%,40.58%,22.50%,0.99%,0.00%,52.8352,14.2468,,,,,,,,,,
437,Ra's Eternal Glory,t8g,,95.74%,39.75%,45.23%,32.08%,1.34%,0.61%,33.4207,11.3309,,,,,,,,,,
436,Elegant Fortune Jackpot,t8g,,95.80%,45.09%,30.49%,15.07%,1.26%,1.03%,48.0239,13.5827,,,,,,,,,,
435,Raging Tiger Jackpot,t8g,,,,,,0.83%,,30.6435,10.8499,,,,,,,,,,
434,Vault Master Mania,t8g,,95.54%,45.87%,49.66%,9.30%,1.25%,0.00%,71.4014,16.5619,,,,,,,,,,
433,Pot o' Gold Rainbow,t8g,,,,,,2.11%,,39.6797,12.3464,,,,,,,,,,
432,Owl's Avarice,t8g,,95.82%,73.22%,22.60%,27.58%,0.65%,0.00%,34.2876,11.4769,,,,,,,,,,
431,Wings of Love,t8g,,,,,,0.99%,,29.1017,10.5734,,,,,,,,,,
430,Cleopatra's 7Jewels,t8g,,93.62%,51.57%,25.33%,17.77%,0.78%,0.59%,29.1635,10.5846,,,,,,,,,,
429,Mystical Bean Jackpot,t8g,,95.58%,47.43%,33.42%,32.03%,1.14%,0.49%,28.0911,10.3882,,,,,,,,,,
428,Dragon&Tiger Double Fate,t8g,,96.11%,60.65%,35.46%,28.76%,1.07%,0.00%,29.525,10.65,,,,,,,,,,
427,Holly Jolly Bingo,t8g,,94.45%,45.37%,49.08%,20.81%,1.90%,0.00%,32.9593,11.2524,,,,,,,,,,
426,Honeycomb Quest,t8g,,,29.63%,63.67%,31.90%,1.90%,0.67%,34.9997,11.5955,,,,,,,,,,
425,Harvesting Pumpkin Fortunes,t8g,,95.64%,51.71%,43.92%,31.19%,0.94%,0.52%,31.8873,11.0679,,,,,,,,,,
424,Medusa's Wheel of Fate,t8g,,95.94%,71.93%,24.01%,20.40%,0.68%,0.00%,46.7632,13.4032,,,,,,,,,,
423,Midnight Hunters,t8g,,,,,,1.22%,,17.1893,8.1261,,,,,,,,,,
422,Savanna Unleashed,t8g,,95.59%,59.54%,36.06%,13.33%,0.94%,0.00%,42.1491,12.7248,,,,,,,,,,
421,Cheshire's Magic Mayhem,t8g,,96.76%,62.80%,33.96%,18.96%,0.97%,0.00%,33.6074,11.3625,,,,,,,,,,
420,Money Stack Mayhem,t8g,,96.19%,54.91%,5.74%,34.18%,0.56%,1.62%,34.8285,11.5671,,,,,,,,,,
419,7 Pigs Coin Link,t8g,,96.21%,29.94%,66.27%,33.32%,2.40%,0.00%,44.7114,13.1059,,,,,,,,,,
418,Fin-tastic Catch,t8g,,95.59%,42.88%,52.71%,32.93%,1.30%,0.00%,44.845,13.1254,,,,,,,,,,
417,Diamond Splendor,t8g,,,,,,3.34%,0.93%,62.694,15.5192,,,,,,,,,,
416,Super Hot Cactus,t8g,,95.79%,58.64%,37.16%,34.47%,1.13%,0.00%,38.0596,12.0917,,,,,,,,,,
415,Freedom Rush Jackpot,t8g,,95.89%,60.08%,35.81%,15.57%,0.91%,0.00%,41.7189,12.6597,,,,,,,,,,
414,Bier District Jackpot,t8g,,96.15%,60.68%,35.47%,16.42%,0.92%,0.00%,42.0228,12.7057,,,,,,,,,,
413,The Tentacular Kraken,t8g,,96.06%,37.13%,15.35%,27.95%,0.66%,1.31%,43.5813,12.9392,,,,,,,,,,
412,Lunar Trinity Jackpot,t8g,,95.81%,37.21%,58.60%,29.87%,2.29%,0.00%,46.1828,13.3198,,,,,,,,,,
411,Kingdom of Diamond Riches,t8g,,95.70%,65.66%,30.04%,31.53%,0.95%,0.00%,38.5743,12.1732,,,,,,,,,,
410,Blazing Lava Bomb,t8g,,,55.65%,39.95%,22.03%,1.34%,,39.034,12.2455,,,,,,,,,,
409,Mermaid's Delights,t8g,,,,,,0.88%,,48.9245,13.7094,,,,,,,,,,
408,Galactic Rustlers,t8g,,95.98%,62.94%,33.05%,19.66%,0.90%,0.00%,39.8042,12.3657,,,,,,,,,,
407,Hippity Hoppity Hoo,t8g,,96.13%,64.51%,31.61%,22.41%,0.97%,0.00%,43.4203,12.9152,,,,,,,,,,
406,Marauders of Fortune,t8g,,95.84%,47.14%,48.70%,23.90%,2.10%,0.00%,31.7448,11.0431,,,,,,,,,,
405,Who Took The Gold,t8g,,,58.33%,40.24%,28.86%,0.83%,0.51%,35.2393,11.6351,,,,,,,,,,
403,Piggy’s Jackpot Wheel,t8g,,,67.24%,28.08%,16.76%,1.17%,,46.545,13.3719,,,,,,,,,,
402,Hot & Cool Devils,t8g,,96.25%,50.42%,33.56%,24.30%,0.98%,0.50%,42.4455,12.7694,,,,,,,,,,
401,Wild Wild Henhouse,t8g,,,,,,1.31%,,29.3005,10.6095,,,,,,,,,,
400,DoubleDown All-Stars,t8g,,96.09%,59.99%,36.10%,19.45%,1.22%,0.00%,39.1207,12.2591,,,,,,,,,,
399,Astral Jackpot Wilds,t8g,,96.22%,58.52%,37.70%,19.99%,1.41%,0.00%,37.2995,11.9704,,,,,,,,,,
398,Bamboo Secret,duc,,,,,,1.68%,0.91%,25.0399,9.8078,,,,,,,,,,
397,Hog the Gold,t8g,,95.75%,53.70%,42.05%,33.61%,1.48%,0.00%,41.8744,12.6833,,,,,,,,,,
396,Wealthy Toad 888,t8g,,96.36%,57.71%,38.65%,33.39%,1.32%,2.16%,33.7747,11.3907,,,,,,,,,,
395,Billy the Kitten,t8g,,,,,,0.90%,,45.0226,13.1514,,,,,,,,,,
394,Golden Chime,duc,,,,,,1.26%,1.47%,59.8837,15.1674,,,,,,,,,,
393,Happy Fu Dai,t8g,,96.60%,30.56%,66.04%,28.77%,2.13%,0.00%,40.4428,12.4645,,,,,,,,,,
392,Money Mania - Pharaoh's Fortune,seq,,96.10%,49.33%,31.53%,27.53%,1.06%,2.06%,39.0907,12.2544,,,,,,,,,,
391,The 7 Gifts of Christmas,t8g,,95.65%,28.35%,67.30%,33.17%,2.58%,0.00%,38.9172,12.2272,,,,,,,,,,
390,Gummy Bear Factory,duc,,,,,,1.97%,,46.1587,13.3163,,,,,,,,,,
389,Treasures of Kukulkan,t8g,,95.92%,25.31%,38.62%,30.58%,1.67%,0.59%,37.1541,11.947,,,,,,,,,,
387,Canopy of Riches,t8g,,,,,,0.90%,,29.2298,10.5967,,,,,,,,,,
386,Hoo Hoo Hoo Monkey,duc,,,,,,1.53%,2.21%,43.0839,12.8651,,,,,,,,,,
385,Happy Piñata Time!,t8g,,,,,,1.28%,0.54%,29.0218,10.5589,,,,,,,,,,
384,Great Bear,seq,,96.34%,60.81%,35.52%,30.60%,0.99%,0.00%,59.2575,15.0879,,,,,,,,,,
383,Blingo Bingo,t8g,,,51.03%,44.91%,25.92%,0.79%,,50.6842,13.9538,,,,,,,,,,
382,Jack'O Lantern Night,duc,,97.71%,79.77%,17.95%,35.78%,1.38%,0.00%,28.8518,10.5279,,,,,,,,,,
381,Thunderous Strike,t8g,,96.29%,74.26%,22.02%,21.20%,0.66%,0.00%,46.0575,13.3017,,,,,,,,,,
380,Tower of Riches,seq,,95.98%,63.87%,32.11%,28.77%,0.94%,0.00%,31.3269,10.9702,,,,,,,,,,
379,Piggy Prestige,t8g,,96.05%,54.21%,41.84%,31.89%,1.11%,0.00%,38.7191,12.196,,,,,,,,,,
378,Top Dollar Premium,seq,,94.64%,49.14%,45.50%,14.64%,2.31%,0.00%,35.9475,11.7514,,,,,,,,,,
